类别,子类别,问题,答案
配送方式,配送服务查询,我的包裹现在到哪里了？,京东自营配送订单：登陆京东，您可以进入“我的京东”-“我的订单”点击对应订单查询即可看到物流更新；第三方快递配送订单：登陆京东，您可以进入“我的京东”-“我的订单”根据物流信息中的快递单号，登陆第三方快递官网查询；或直接在线咨询商家客服。
支付问题,异常情况,账户余额转入京东小金库，多久能到账？,您好，正常情况下会实时到账，如果超过一个工作日未到账，请您及时联系京东金融客服。2017-05-23
购物指南,用户协议,《京东用户注册协议》2020年5月16日生效版本,版本更新日期：2020年5月9日版本生效日期：2020年5月16日
支付问题,公司转账,邮政储蓄银行企业网银支付步骤,下载根证书后再选择银行→登陆企业网银→选择付款账号，确认支付→登陆企业网银复核→复核通过，支付成功1. 进入中国邮政储蓄银行官方网站下载根证书后再选择银行，会进入下面页面，输入信息登陆：2. 选择付款账号，点击【确认支付】：3. 核对订单信息，点击【确认支付】4. 输入UKey密码，点击【确认】5. 查看UKey屏幕显示内容，确认无误，点击UKey上【OK】后出现以下页面：6. 插入复核UKey，登陆企业网银复核，登陆后选择【付款业务】--【指令审核】，点击【查询】后，选择审核交易，点击【同意】： 7. 输UKey密码，点击【确认】8. 核对UKey显示信息，确认无误，点击UKey上的【OK】键确认9. 审核通过，支付成功：2018-03-09
特色服务,京东E卡,请问京东E卡是否需要激活？,通过京东商城官网购买的订单完成后自动激活，收货后可以直接使用，无需人工激活，如您收到的京东E卡在三个工作日后仍属于未激活状态，请您将订单号发送至jh@jd.com邮箱进行京东E卡的激活。2019-07-19
售后服务,售后政策（三方）,汽车用品类商品退换货细则（三方）,一、商品签收：1、当面验收：为保障客户自身权益，客户在签收商品前应对商品当面验收，检查货物外包装及内物外观，在确定货物完好无损后，再进行签收；如果物流公司不支持先验货再签收，客户可致电卖家协商之后拒绝签收。如在验收过程中发现外包装破损、商品出现破损、少件等问题，客户有权拒绝签收，并在拒绝签收后联系卖家进行核实处理；如客户未进行验收即做签收，将默认为客户已经对商品进行了表面验收；2、委托他人代收：卖家需告知客户（被委托人）签收标准，客户委托他人代收的行为视同于客户本人已对商品进行签收。
账户及会员,会员介绍,什么是小白信用？,小白信用是根据您在京东的浏览、购物、投资理财、信用产品使用和履约情况、个人信息完整度等多个维度的数据，通过大数据算法，对您的信用水平给出的综合评估。评分越高，表明您的信用越好，可以享受更多权益。2016-05-05
特色服务,京东服务管家,上门服务流程,“上门服务”流程：1.客户订购“上门服务”，需要客户单独下订单购买，且“上门服务”不能和其它的服务一起订购；2.客户下订单后京东订单处理专员会和客户电话约定“上门服务”时间，安排技术工程师在约定的时间上门为客户服务；3.客户填写此次服务的订单记录表；4.京东安排客服人员不定期对客户进行回访；5.此次服务完成。2016-06-16
购物指南,商品咨询,电子书支持什么系统，下载次数多少？,电子书支持PC电脑、Android系统设备和IOS系统设备，购买的每本电子书最多支持10个设备下载，每个设备下载次数不限。如需要在第11个设备上阅读，需要重新购买同一本电子书刊。2016-01-26
特色服务,拍卖业务,海关拍卖竞拍保证金须知,一、保证金的缴纳：保证金是用户参加竞拍的凭证，如用户有意参加相关商品竞拍活动，则须缴纳商家设置的参与竞拍活动的保证金。每个拍品的竞拍只需要缴纳一次保证金。 二、保证金的处理：1.保证金的返还以下三种情况下，将原路退还用户保证金：1）用户未成功竞拍拍品；2）用户竞拍成功后并在竞拍规则规定的时间内付款；3）用户竞拍成功后，商家主动关闭交易或未履约发货或因商家其他原因导致交易未完成的。拍卖结束后，成交的在客户点击“确认收货”后的72H内系统自动解冻保证金，未成交的在拍卖结束后72H内系统自动解冻保证金，具体到账时间以各银行规定的到账时间为准，如您缴纳的竞拍保证金符合退还条件，但是系统未予退还，您可以联系京东客服，我们会尽快帮您处理。2.保证金的扣除用户应按照竞拍规则及商家设置的保证金金额缴纳保证金，用户未按规定提交企业资质、企业授权委托书、特殊资质证明等，或所提交的个人身份信息、上述资料提交不真实、不完善、出现错误，或竞拍成功后未按照规定的时间完成付款或未在规定时间内完成订单转换的，京东系统将直接扣除用户缴纳的保证金作为违约金用于赔付商家，商家应向用户出具相应凭据，但京东无需就代为扣除的保证金给用户或商家开具发票或收据等相关凭证； 三、违约责任成交不卖的违约赔偿：1.用户竞拍成功并完成成交款支付后，如因商家原因出现了“成交不卖”的违规行为，包括但不限于关闭交易或未履约发货，商家应为用户办理退款，退款及法律责任的追究，由商家线下与用户自行联系完成。所涉款项不通过京东平台支付，京东平台亦不对此承担任何义务与法律责任。 同时，用户还将获得由商家提供的金额为所缴纳保证金金额一倍的违约金作为赔偿。2.用户竞拍成功并完成成交款支付后，如因海关或商家原因导致不能发货，商家应为用户办理退款，退款及法律责任的追究，由商家线下与用户自行联系完成。所涉款项不通过京东平台支付，京东平台亦不对此承担任何义务与法律责任。但海关及商家将不承担违约金和其他赔偿。                       2017-12-29
支付问题,京东白条,如果未能按时付款造成违约，违约金如何收取？,您任何一期未在还款日或还款日之前足额归还当期借款本息即视为逾期，自逾期之日起计算违约天数。违约金计算方式：违约金（日）=应付但未付总额（本金+分期服务费）×违约金比例总违约金=违约金（日）×违约天数具体违约金比例按下述标准收取。费用标准说明：1、违约金（日）不足0.01元时按0.01元收取。2、违约金按日累计计算。2016-11-09
特色服务,JIMI智能客服机器人,京东智能客服,什么是京东智能客服？京东智能客服是京东基于自然语言处理、深度神经网络、语音、机器学习等AI前沿技术自研的人工智能客服系统，能完成全天候、无限量的用户服务，涵盖售前咨询、售后服务等电子商务的各个环节，具备数千个京东客服标准服务技能。京东智能客服不仅具有超高智商，还懂得察言观色，具备极高的情商。基于京东情感分析技术，智能客服能精准感知快乐、生气、愤怒、失落等七种不同的人类情感，并针对性进行回复表达。让人机对话更具温度。目前京东智能客服已完全覆盖京东自营在线咨询，也将逐步覆盖京东电话咨询，并与人工客服协同作战，一起给京东用户带来更好的服务体验。京东智能客服发展大事记2013年3月 24H京东智能服务机器人通过测试正式上线2015年11月 11日 京东智能客服在“11.11”购物节上接待量破百万2017年6月 智能客服开启人机深度融合服务模式2018年5月 基于情感分析技术，智能客服初具情商2018年10月 京东智能客服形成从文字到语音，从智能对话到智能分析的全套解决方案，开放赋能，助力政企智能化升级 常见问题如果您是客户：Q1：如何才能访问到智能客服？A1：如果您已经提交订单，您可以在我的订单页面点击右侧京东客服字样，就能直接咨询智能客服。如果您尚未提交订单，可在首页右侧导航栏点击咨询JIMI字样即可接入智能客服。
支付问题,京东白条,想要咨询白条支付等金融问题怎么办？,您好，您可以通过以下路径进行咨询：1.登录电脑端京东商城首页，点击右上方“客户服务”中“金融咨询”—进入金融帮助中心；2.直接点击“京东金融帮助中心-白条常见问题”。2017-03-24
配送方式,配送服务查询,物流信息长时间未更新，怎么回事？,下单后，您的订单中物流信息长时间未更新，有可能是系统问题，或者是订单出现了异常，请您直接联系在线客服人员处理。2017-03-03
支付问题,京东白条,如何查询京东白条？,电脑端查询路径：【京东金融首页】-【我的资产】-【我的白条】（点击查看）
特色服务,意外保护,第三方商家贴坏包赔服务说明,一、 服务介绍为了减少您在贴膜过程中因贴坏产生的损失，当您在第三方商家店铺选购带有“贴坏包赔”服务的“手机贴膜”类商品时，自您签收商品后的7天内（含签收当日），由于自身原因贴膜贴坏了、贴斜了、贴膜有气泡、贴膜进灰尘等导致购买的贴膜无法再使用，您可以在线发起售后申请，申请通过后第三方商家会免费为您提供一张与原商品一样的手机贴膜。二、申请流程：购买商品-确认收货并使用商品-申请服务-商家审核1、 购买商品：您在第三方商家店铺购买带有“贴坏包赔”服务的“手机贴膜”类商品（如何区分京东自营销售和第三方卖家销售的商品？）2、 确认收货并使用商品：收到商品后，请您在签收商品后的7天内使用商品（含签收当日），超过7天无法享受此服务；3、 申请服务：如您贴膜失败，请您在7天内（从快递跟踪显示的商品签收时间开始计算）在线发起售后申请（如何申请退货/换货？），选择“贴坏包赔”，并上传商品已使用的包装照片和贴膜使用后损坏/未贴好的照片。如下图展示：【图一：该商品已使用的包装图示】
账户及会员,会员介绍,企业会员介绍,京东企业会员是为京东企业用户打造的专属数字化会员服务。依托于京东集团专业的商品及供应链服务能力，京东向会员用户提供商品权益、服务权益、金融权益、增值权益共4类13项专属权益，帮助中小微企业会员省钱、省心、省时间。 企业会员专属权益如下：序号权益权益内容1企业专享价精选50万+热销商品，企业会员购买专享价格2品类优惠企业会员可享受商用、工业品、礼品卡等企业热销品类专属优惠3货款垫付可申请开通企业金采，享受先采购后付款的金融服务4采购管家企业会员专属客服，提供售前/售中/售后专业服务5企业工作台企业会员综合服务工作台，对采购流程进行集中管理。6主子账号企业多角色账号管理，订单支付快捷审批，采购订单集中查询7企业发票中心发票统一管理，自由组合开票，专属团队极速处理，增票资质实时修改8免续重运费  企业会员企享值达到10000分，即可享受订单超重免续重运费9采购账单每月采购数据一键生成报表，帮助企业用户轻松实现采购轻管理10企业会员日每月28日，企业会员登录京东参与会员日活动，可享受优惠爆品，并有机会免费领取增值权益11售后运费优惠自营商品专享免费上门取件/上门换新服务，退货换货运费不花钱12电子合同支持实名认证、线上签约，可提升企业办公效率13增值权益企业会员可领取企查查、携程商旅、大象慧云等企业服务权益特别说明：
账户及会员,会员介绍,企业用户订单拆分的运费收取规则,一、满足免运费条件的订单，如被拆分为两个或两个以上的子订单，客户取消/拒收其中任意子订单后，剩余子订单金额如不满足免运费条件，京东将实施以下运费收取规则：
账户及会员,账户资产,京东优惠券规则,什么是优惠券优惠券是京东通过买赠、活动参与、京豆兑换、PLUS会员权益获得等形式发放给用户，用于减免购买支付的惠民措施。从使用限额分为京券和东券；从商品品类进一步划分，分为限品类京券和东券；从销售主体进一步划分，分为限店铺京券和东券；从优惠券存在形式划分，分为实体密码券和账户电子券两种。优惠券优惠部分不开具发票，以下为京东现有各优惠券详细说明：全品类京券京东（京东主站(www.jd.com)、京东客户端（IOS/Andriod）、M版京东（m.jd.com）微信购物、手机QQ购物、京致衣橱APP）内通用，无使用限额限制。如果为全平台京券，则可以在同一订单下同时使用多张，可与限品类京券、店铺京券同时使用。京券能按面值总额减免商品部分支付，不能与东券叠加使用，可与运费券同时使用。特殊商品不能使用。使用全品类京券提交订单时，若京券金额大于订单需支付商品金额，差额不予退回。
配送方式,京东配送服务说明,我的收货地址支不支持211配送？,211配送范围详情可参考//help.jd.com/user/issue/103-983.html2017-03-03
购物指南,商品咨询,评价晒单规则是什么呢？,评价晒单规则
支付问题,公司转账,平安银行企业易支付支付步骤,1、登录平安银行企业网银，进入“付款业务-B2B银企付-支付申请录入”菜单，点击“查询”按钮，选择对应订单点击“订单审核”按钮。2、进入订单详情页，点击“提交订单”按钮。3、登录企业网银，选择“交易授权->授权人员复核授权”菜单，选择待复核授权记录点击“审批”按钮。4、进入审批详情页，点击“通过”按钮，完成支付。2021年5月24日
特色服务,京东E卡,京东E卡如何绑定？,京东E卡绑定自助服务请点击这里:2021年8月17日
售后服务,售后常见问题,如何查看魔镜等级？,登录电脑端京东商城，点击京东页面右上角【客户服务】-【售后服务】，页面左侧即可查看魔镜等级及闪电退款的授信额度。2017-09-28
特色服务,大家电,大家电的收货日期可以修改吗？,您好，大家电类商品暂不支持您自主修改收货日期，您可以联系人工客服沟通确认订单收货日期是否可以更改。大家电商品配送前会有人工客服联系您沟通配送时间，您也可以在客服联系您的时候确认订单收货日期是否可以更改。
账户及会员,PLUS会员,PLUS会员如何退费？,京东PLUS正式期或试用期会员开通后，您在已开通的服务期内中途主动取消服务或终止资格的，将不获得为开通本服务而支付费用的退还。2019-10-31
特色服务,拍卖业务,海关拍卖竞拍报名须知,一、本平台开展的竞拍活动要求参与竞拍的用户填写真实身份信息，并缴纳相应保证金，以取得竞拍资格。同时，该身份信息还将用于海关在用户取货时对其进行身份验证时使用，请用户仔细填写并保证信息真实有效，如因信息填写错误或不真实而导致无法提货的，全部风险及责任由用户自行承担。二、用户为代表企业参与竞拍的，除填写用户真实身份信息外，还需要同时提交企业资质及企业委托该用户代理竞拍的委托书，并缴纳相应保证金，方能取得竞拍资格。用户应确保所填写信息及提交资料的真实性和完整性。三、对于相关法律规定的用户需具有一定资质方能参与竞拍的特殊性质拍品，用户应按照商家公示的要求，在相应位置上传所需的资质证明。四、如上述填报信息及提交资料不真实、不完整或出现错误，即使该用户竞拍成功，该成交也将被认定为无效，由此而产生的任何法律风险及责任，均由用户自行承担。五、如工商局等国家机关要求京东向其提供用户填报的身份信息，京东平台将根据要求向上述部门予以提供，用户对此知晓并同意。六、用户通过本平台参与竞拍活动前应仔细阅读竞拍规则，并应予以遵守。2016-02-15
